# Pe    mu
2.005013e+00 2.768468e+02
2.005013e+00 2.770571e+02
2.030075e+00 2.772673e+02
2.030075e+00 2.774775e+02
2.030075e+00 2.776877e+02
2.030075e+00 2.778979e+02
2.030075e+00 2.781081e+02
2.055138e+00 2.783183e+02
2.055138e+00 2.785285e+02
2.055138e+00 2.787387e+02
2.055138e+00 2.789489e+02
2.055138e+00 2.791592e+02
2.080201e+00 2.793694e+02
2.080201e+00 2.795796e+02
2.080201e+00 2.797898e+02
2.080201e+00 2.800000e+02
1.253133e-01 2.123123e+02
2.005013e-01 2.125225e+02
2.506266e-01 2.127327e+02
2.756892e-01 2.129429e+02
3.258145e-01 2.131532e+02
3.508772e-01 2.133634e+02
3.759398e-01 2.135736e+02
4.260652e-01 2.137838e+02
4.511278e-01 2.139940e+02
4.761905e-01 2.142042e+02
4.761905e-01 2.144144e+02
5.012531e-01 2.146246e+02
5.263158e-01 2.148348e+02
5.513784e-01 2.150450e+02
5.764411e-01 2.152553e+02
6.015038e-01 2.154655e+02
6.015038e-01 2.156757e+02
6.265664e-01 2.158859e+02
6.516291e-01 2.160961e+02
6.766917e-01 2.163063e+02
6.766917e-01 2.165165e+02
7.017544e-01 2.167267e+02
7.268170e-01 2.169369e+02
7.268170e-01 2.171471e+02
7.518797e-01 2.173574e+02
7.518797e-01 2.175676e+02
7.769424e-01 2.177778e+02
8.020050e-01 2.179880e+02
8.020050e-01 2.181982e+02
8.270677e-01 2.184084e+02
8.270677e-01 2.186186e+02
8.521303e-01 2.188288e+02
8.521303e-01 2.190390e+02
8.771930e-01 2.192492e+02
8.771930e-01 2.194595e+02
9.022556e-01 2.196697e+02
9.022556e-01 2.198799e+02
9.273183e-01 2.200901e+02
9.273183e-01 2.203003e+02
9.523810e-01 2.205105e+02
9.523810e-01 2.207207e+02
9.774436e-01 2.209309e+02
9.774436e-01 2.211411e+02
1.002506e+00 2.213514e+02
1.002506e+00 2.215616e+02
1.027569e+00 2.217718e+02
1.027569e+00 2.219820e+02
1.027569e+00 2.221922e+02
1.052632e+00 2.224024e+02
1.052632e+00 2.226126e+02
1.077694e+00 2.228228e+02
1.077694e+00 2.230330e+02
1.102757e+00 2.232432e+02
1.102757e+00 2.234535e+02
1.102757e+00 2.236637e+02
1.127820e+00 2.238739e+02
1.127820e+00 2.240841e+02
1.152882e+00 2.242943e+02
1.152882e+00 2.245045e+02
1.152882e+00 2.247147e+02
1.177945e+00 2.249249e+02
1.177945e+00 2.251351e+02
1.203008e+00 2.253453e+02
1.203008e+00 2.255556e+02
1.203008e+00 2.257658e+02
1.228070e+00 2.259760e+02
1.228070e+00 2.261862e+02
1.228070e+00 2.263964e+02
1.253133e+00 2.266066e+02
1.253133e+00 2.268168e+02
1.278195e+00 2.270270e+02
1.278195e+00 2.272372e+02
1.278195e+00 2.274474e+02
1.303258e+00 2.276577e+02
1.303258e+00 2.278679e+02
1.303258e+00 2.280781e+02
1.328321e+00 2.282883e+02
1.328321e+00 2.284985e+02
1.328321e+00 2.287087e+02
1.353383e+00 2.289189e+02
1.353383e+00 2.291291e+02
1.353383e+00 2.293393e+02
1.378446e+00 2.295495e+02
1.378446e+00 2.297598e+02
1.378446e+00 2.299700e+02
1.403509e+00 2.301802e+02
1.403509e+00 2.303904e+02
1.403509e+00 2.306006e+02
1.428571e+00 2.308108e+02
1.428571e+00 2.310210e+02
1.428571e+00 2.312312e+02
1.453634e+00 2.314414e+02
1.453634e+00 2.316517e+02
1.453634e+00 2.318619e+02
1.478697e+00 2.320721e+02
1.478697e+00 2.322823e+02
1.478697e+00 2.324925e+02
1.478697e+00 2.327027e+02
1.503759e+00 2.329129e+02
1.503759e+00 2.331231e+02
1.503759e+00 2.333333e+02
1.528822e+00 2.335435e+02
1.528822e+00 2.337538e+02
1.528822e+00 2.339640e+02
1.553885e+00 2.341742e+02
1.553885e+00 2.343844e+02
1.553885e+00 2.345946e+02
1.553885e+00 2.348048e+02
1.578947e+00 2.350150e+02
1.578947e+00 2.352252e+02
1.578947e+00 2.354354e+02
1.604010e+00 2.356456e+02
1.604010e+00 2.358559e+02
1.604010e+00 2.360661e+02
